current_path,filename,extension,size_bytes,sha256,probable_phase,probable_concept,document_role,authority_level,exact_duplicate_group,possible_cross_format_duplicate_group,probable_canonical_file,confidence,manual_review_requirement
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_MEMORY.md,Phase3B_MEMORY.md,md,18836,7b6532c779867e9d6064473de4ba1b4799a0c385361cf27dc4616888fb0ac7ad,Phase 3B,Multi-concept,Phase memory,Level 6 — Phase 3B report/memory,ED-07,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_MEMORY.md,High,No
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_Report_by_Claude.md,Phase3B_Report_by_Claude.md,md,83718,14c19ac85b56e4e27da03de534a2a574ab7220d90005b4a7a0afb868f6390478,Phase 3B,Multi-concept,Phase report/supporting deliverable,Level 6 — Phase 3B report/memory,ED-01,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_Report_by_Claude.md,High,No
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_mem_and_report.zip,Phase3B_mem_and_report.zip,zip,35058,b4674075c434e818a3579f61f8746dd918ac06e316030e04fa3c9577a36eafb0,Phase 3B,Multi-concept,Convenience/archive package,Convenience/context only; non-canonical container,,,Normal files listed in 03_DUPLICATE_REPORT.md,High,Yes — convenience archive retention/version policy
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Project_mC_Phase3B_SOP.md,Project_mC_Phase3B_SOP.md,md,8028,6ce2ed40885038734faa75018a1caa16d89fcc7f18c7bf8249fe42453f36af4c,Phase 3B,Multi-concept,Methodology/SOP,Supporting/non-decision artifact,,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Project_mC_Phase3B_SOP.md,High,No
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Qwen Rsearch on Phase 3B.pdf,Qwen Rsearch on Phase 3B.pdf,pdf,649615,7a8fbde6b8fab93e195deefa716fb3f3724c369aa87deef27256be8fe8b45e1f,Phase 3B,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Qwen Rsearch on Phase 3B.pdf,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/perplexity_research_on_phase3B.md,perplexity_research_on_phase3B.md,md,49895,65a891eda465cab8f3d1d69e8320497dc8c05c5a2176c25d9c0cb81218f4b4d5,Phase 3B,Multi-concept,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/perplexity_research_on_phase3B.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/Phase3C_Retained_Portfolio_Closure_Memo.md,Phase3C_Retained_Portfolio_Closure_Memo.md,md,3149,3c6e6f568c06099251b4b71d4f35cf668ee23a40c8214c95e4a12fe36cf4845a,Phase 3C,Multi-concept,Approved portfolio closure memo,Level 3 — retained-portfolio closure memo,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/Phase3C_Retained_Portfolio_Closure_Memo.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_ChatGPT_Final_Synthesis.md,Phase3C_TrueMoist_ChatGPT_Final_Synthesis.md,md,46897,6c71f1d618e0575d127b10f05e91d06ea4b1f0b8a2fe63e78d4022ee75234610,Phase 3C,TrueMoist,Final Phase 3C architecture/synthesis report,Level 4 — final Phase 3C architecture report,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_ChatGPT_Final_Synthesis.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_DeepResearch_Prompt.md,Phase3C_TrueMoist_DeepResearch_Prompt.md,md,28220,da66d2b9259a007d390b7fdc2766b9349bf88497cd60af3bc0c5e6855cddd08e,Phase 3C,TrueMoist,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_DeepResearch_Prompt.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_Final_Synthesis_Prompt.md,Phase3C_TrueMoist_Final_Synthesis_Prompt.md,md,10637,144617f2efe8ef6db6122d00039fcc3566d8aab03649e003837eea5c0a60618e,Phase 3C,TrueMoist,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_Final_Synthesis_Prompt.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_MEMORY_Final.md,Phase3C_TrueMoist_MEMORY_Final.md,md,5230,ba8264d74f37168e5de85a5d76adb354062dc5e47b692b12f76f73aac62c7377,Phase 3C,TrueMoist,Phase memory,Level 5 — Phase 3C memory,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_MEMORY_Final.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_PDR_Update_Patch.md,Phase3C_TrueMoist_PDR_Update_Patch.md,md,10210,f9b23506c0b78a76ac590fa7bb80911c1a416569eb17c41644b2cfd9b432a803,Phase 3C,TrueMoist,Historical PDR update patch,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_PDR_Update_Patch.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_SOP.md,Phase3C_TrueMoist_SOP.md,md,18712,993caf1a05f3fdc3937efb634e2f2e467488e973eb71454db8e3c3f53d178d00,Phase 3C,TrueMoist,Methodology/SOP,Supporting/non-decision artifact,ED-11,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_SOP.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/TrueMoist  3C Gemini REsearch.docx,TrueMoist  3C Gemini REsearch.docx,docx,138980,b0eab8009831f5b719bf9d20ad1f25e9bcc549fc260a078a5be2531dc86e5b24,Phase 3C,TrueMoist,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/TrueMoist  3C Gemini REsearch.docx,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/TrueMoist Phase 3C  Research By chatgpt.pdf,TrueMoist Phase 3C  Research By chatgpt.pdf,pdf,17994349,87ccbd3416f3f7bb58e544095a1e20560f9561ffe72db82f868d17bf942812e7,Phase 3C,TrueMoist,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/TrueMoist Phase 3C  Research By chatgpt.pdf,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/TrueMoist Phase 3C By Perplexity.md,TrueMoist Phase 3C By Perplexity.md,md,87503,caefe1da05e1963e0cd9c3916fc50d4c2e4b396006cdf39ebf8eee893f0c3187,Phase 3C,TrueMoist,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/TrueMoist Phase 3C By Perplexity.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/phase-3c-truemoist-Research-Mistral.md,phase-3c-truemoist-Research-Mistral.md,md,19116,706d9ae47b256de0bb01d2836c3b24095b4109fd6c1011491aa88d32799fd1c5,Phase 3C,TrueMoist,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Research/phase-3c-truemoist-Research-Mistral.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Claudes report for openbraille phase 3c.md,Claudes report for openbraille phase 3c.md,md,46126,0e6c40edc6fd79c17f6bcac8e6d1598217ff7cadbdbf721ea55e4c39d4d36aa8,Phase 3C,OpenBraille,Final Phase 3C architecture/synthesis report,Level 4 — final Phase 3C architecture report,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Claudes report for openbraille phase 3c.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_Claude_Synthesis_Prompt.md,Phase3C_OpenBraille_Claude_Synthesis_Prompt.md,md,17548,2cd7dbdabb86f93a69ebfc012a5518fdb814529999c44f68c4252a19f5b8cf04,Phase 3C,OpenBraille,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_Claude_Synthesis_Prompt.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_DeepResearch_Prompt.md,Phase3C_OpenBraille_DeepResearch_Prompt.md,md,19686,a59b4743782e0e21e1472b28b116a1bf83a2ede098a28e8d5110a8ab1ce33e42,Phase 3C,OpenBraille,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_DeepResearch_Prompt.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_Memory.md,Phase3C_OpenBraille_Memory.md,md,12364,5dad0e392cf9c64d7e8f29be09fadb70acde5b965b95744fa066b5f4b4fd30eb,Phase 3C,OpenBraille,Phase memory,Level 5 — Phase 3C memory,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_Memory.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_SOP.md,Phase3C_OpenBraille_SOP.md,md,4746,bfee5dc46675d77b318f4a0d4fe864d77a570a1150cc2676a5dd10103f214e50,Phase 3C,OpenBraille,Methodology/SOP,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Phase3C_OpenBraille_SOP.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/DEEpr research on phase 3c openbraille by chatgpt,DEEpr research on phase 3c openbraille by chatgpt,[none],151219,864e400d3b259157346319b53eb36868b28bf183fb6ac5a1efbcbb6315424e06,Phase 3C,OpenBraille,Failed/mis-scoped raw research (PDF without extension),Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/DEEpr research on phase 3c openbraille by chatgpt,High,Yes — label as failed and restore .pdf extension
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/Perplexity research on phase 3C.docx,Perplexity research on phase 3C.docx,docx,534977,6350e11ac346e30fbb3ca252a40367e4394bfcf1cf9e1f2ad8c84fcf1bf3545d,Phase 3C,OpenBraille,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/Perplexity research on phase 3C.docx,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/gemini research on phase 3c.docx,gemini research on phase 3c.docx,docx,3059479,a1d2b01cdbaa412c79251ffec0b7fad9e606aa16609a664a88b6ebd8149b8b7c,Phase 3C,OpenBraille,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/gemini research on phase 3c.docx,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/mistral research on phase 3c.md,mistral research on phase 3c.md,md,75348,aff5ebe5ff1fedfc5cc52cb9ef52d6b742ea495ff5304eb5acedaa8ff7e21c83,Phase 3C,OpenBraille,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/mistral research on phase 3c.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/qwen Research on phase 3C.md,qwen Research on phase 3C.md,md,45014,3416c5526a1c73e5b29acf0117d45b4a5ee86cc1391eb9a105ca6710d0048f2b,Phase 3C,OpenBraille,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/openbraille/Researches/qwen Research on phase 3C.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/Phase3C_VibeGuard_DeepResearch_Prompt.md,Phase3C_VibeGuard_DeepResearch_Prompt.md,md,25491,af08518f2c65bc8a53ff2520775415d2fd7f3bd5da2fc7e37018ae96a0c412d6,Phase 3C,VibeGuard,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/Phase3C_VibeGuard_DeepResearch_Prompt.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/Phase3C_VibeGuard_Memory.md,Phase3C_VibeGuard_Memory.md,md,9485,3d07fdb1b9b2c0c273dacf3b49650e2deb6fa72a36af38035c85118e3fd51960,Phase 3C,VibeGuard,Phase memory,Level 5 — Phase 3C memory,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/Phase3C_VibeGuard_Memory.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/claude_synthesis_prompt.md,claude_synthesis_prompt.md,md,16519,26b50889394442be4fb22e26fad74b6ca97c7e5765f330b92b241ff8e69c1a2e,Phase 3C,VibeGuard,AI research/synthesis prompt,Supporting/non-decision artifact,,CF-03,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/claude_synthesis_prompt.md,High,Yes — cross-format scope/equivalence review
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/claude_synthesis_prompt.mmd,claude_synthesis_prompt.mmd,mmd,16518,59ae97bd4407b3e18cb2fb9ac99abdeeaf9aa3fdc3f5cb5e6f8ea67f330da47e,Phase 3C,VibeGuard,AI research/synthesis prompt,Supporting/non-decision artifact,,CF-03,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/claude_synthesis_prompt.md,High,Yes — cross-format scope/equivalence review
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/Perplexity research on phase 3c.md,Perplexity research on phase 3c.md,md,46791,0b1a2ea090cbc3630e84f4c4902e307e72751ca531f85bfe473285f74f4df368,Phase 3C,VibeGuard,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/Perplexity research on phase 3c.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/Phase3C_VibeGuard_Architecture_Report By Claude.md,Phase3C_VibeGuard_Architecture_Report By Claude.md,md,32541,d6a5f009d5c96bceb6cc0cb2f4d70817204e7346e7f6e7c21a5e86b457254573,Phase 3C,VibeGuard,Final Phase 3C architecture/synthesis report,Level 4 — final Phase 3C architecture report,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/Phase3C_VibeGuard_Architecture_Report By Claude.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/gemini research on phase 3c.docx,gemini research on phase 3c.docx,docx,3049401,39a249ed0b0c9d76b0372e558b04d47a837b6a1849848f84fa9bf88f1ade0921,Phase 3C,VibeGuard,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/gemini research on phase 3c.docx,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/mistral reserach on phase 3c.md,mistral reserach on phase 3c.md,md,53102,86efffd004de1dd811343d0d6def5c8955189f66aa56af244f6b5d2d4dacc355,Phase 3C,VibeGuard,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/mistral reserach on phase 3c.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/qwens research on phase 3c.md,qwens research on phase 3c.md,md,42575,a16b18b36f221d2a3f4de53d65068de3bb20d253e0d550c60c7735b30ae19f4d,Phase 3C,VibeGuard,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/research/qwens research on phase 3c.md,High,No
PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/vibeguard_sop.md,vibeguard_sop.md,md,15737,e073729670896e004900fdb52c049819d78d4b597f7da08e62c54de1152f7e0c,Phase 3C,VibeGuard,Methodology/SOP,Supporting/non-decision artifact,,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/vibeguard/vibeguard_sop.md,High,No
PHASE 3/Phase3_DeepResearch_Prompt.md,Phase3_DeepResearch_Prompt.md,md,9989,4173379249d0dca88800c04432b71cf1184f958abf2809d72c023363cdd1449c,Phase 3,Multi-concept,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 3/Phase3_DeepResearch_Prompt.md,High,No
PROJECT_CONCEPT_CONTEXT.md,PROJECT_CONCEPT_CONTEXT.md,md,6646,f520cb5201e299fb0f9185bd2b79318229b898e5a8ad7822deb9a073e8f6cae4,Cross-phase governance,Multi-concept,Canonical concept context,Governance/context (outside numbered technical precedence),ED-19,,PROJECT_CONCEPT_CONTEXT.md,High,No
Phase3_SOP.md,Phase3_SOP.md,md,6227,3c3bfa374c40280be56adbd22f5ba7e07c3f38254557c0d1885da5708f6c53de,Phase 3,Multi-concept,Methodology/SOP,Supporting/non-decision artifact,,,Phase3_SOP.md,High,No
Project_mC_Decision_Register_v1.0.md.save,Project_mC_Decision_Register_v1.0.md.save,save,42548,2ecf77fbbba9966a7769a2e715034f6b9ff7362d7aa51261219ee118085d22d3,Cross-phase governance,Multi-concept,Project Decision Register,Historical/superseded Decision Register,ED-02,,Project_mC_Decision_Register_v1.0.md.save,High,Yes — ensure historical/superseded labeling
Project_mC_Decision_Register_v1.2.md,Project_mC_Decision_Register_v1.2.md,md,55963,ebdbbf8df5645fb41b238dc403d7160bbec78a5114b93237eea4ac098ef21d2e,Cross-phase governance,Multi-concept,Project Decision Register,Level 2 — latest Decision Register,,,Project_mC_Decision_Register_v1.2.md,High,No
README.md,README.md,md,13,77702c121156afe1be6cc6ef8ce1c61a0291b13b3aa7a2f2ef1f4d608025ec06,Repository-wide,Repository-wide/none,Repository landing page,Supporting/non-decision artifact,,,README.md,High,No
contexts.zip,contexts.zip,zip,3583134,29c21e888bc2ac1fb42514db91bff88a6a67bafde26a05ddc6933010ba3233f6,Phase 1A context package,Multi-concept,Convenience/archive package,Convenience/context only; non-canonical container,,,Normal Phase 1A files; embedded phase roadmap is historical,High,Yes — convenience archive retention/version policy
every sop and memory/MC_Project_PHASE_DOC.md,MC_Project_PHASE_DOC.md,md,6638,e7ebf127dac01b63c87713b14c0bd5cf2d4500e60581cc86f783abe92a525f98,Cross-phase/unclear,Multi-concept,Phase memory,Convenience/context only; non-canonical container,,,MC_Project_PHASE_DOC.md,High,Yes — stale status/version or structure snapshot
every sop and memory/Phase1A_Memory.md,Phase1A_Memory.md,md,4029,5a8943e1e556e1db0644cc7b75e2b4c8000b1a9506d673406c9c70cf7bb4a213,Phase 1A,Multi-concept,Phase memory,Convenience/context only; non-canonical container,ED-05,,PHASE 1/PHASE 1.A/Phase1A_Memory.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/Phase1A_Summary.md,Phase1A_Summary.md,md,2794,c52bed09fdfd1a860471bfc6d56cd41411f730362d12ee0348e07ad0939909c9,Phase 1A,Multi-concept,Phase memory,Convenience/context only; non-canonical container,ED-14,,PHASE 1/PHASE 1.A/Phase1A_Summary.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/Phase1B5_Memory.md,Phase1B5_Memory.md,md,5302,d200473fd85a3cc910e3532bb2be662e0fcbdeab363fe988a948fd81d129c537,Phase 1B.5,Multi-concept,Phase memory,Convenience/context only; non-canonical container,ED-15,,PHASE 1/PHASE 1B.5/Phase1B5_Memory.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/Phase1B5_Opportunity_Portfolio_Optimization.md,Phase1B5_Opportunity_Portfolio_Optimization.md,md,6431,305f0f568081ad8a01affc02d252a681f84abde5c23c2a9421fb69369ecc5540,Phase 1B.5,Multi-concept,Phase memory,Convenience/context only; non-canonical container,ED-03,,PHASE 1/PHASE 1B.5/Phase1B5_Opportunity_Portfolio_Optimization.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/Phase1B_Memory.md,Phase1B_Memory.md,md,3966,d58c91eead60c5abdb4e38c1e9b87c7449f4b3b68ccd7a23f5d4816fea16ff76,Phase 1B,Multi-concept,Phase memory,Convenience/context only; non-canonical container,ED-16,,PHASE 1/PHASE 1.B/Phase1B_Memory.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/Phase1B_Opportunity_Analysis.md,Phase1B_Opportunity_Analysis.md,md,5802,e10d76b80c78554ff7e2ea75f3b263bfe82333c54418e7f794d249610f8fe130,Phase 1B,Multi-concept,Phase memory,Convenience/context only; non-canonical container,ED-17,,PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/Phase1C.md,Phase1C.md,md,3009,8e41493ddbc8b8b3c3ad8a00995b6ae3f8a5645351f8086a6b8ded92623853e4,Phase 1C,Multi-concept,Phase memory,Convenience copy of Level 9 — Phase 1C synthesis/dossier,ED-09,,PHASE 1/PHASE 1C/Phase1C.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/Phase1C_Memory.md,Phase1C_Memory.md,md,3390,e3b320245bc20d4312edc22b62fc9584059111e8fd38442277a3e5544ae019c1,Phase 1C,Multi-concept,Phase memory,Convenience copy of Level 9 — Phase 1C synthesis/dossier,ED-18,,PHASE 1/PHASE 1C/Phase1C_Memory.md,High,Yes — convenience copy; do not treat as canonical
every sop and memory/every_sop_and memory_from phase 1A to 1C and whoel phase overview.zip,every_sop_and memory_from phase 1A to 1C and whoel phase overview.zip,zip,19018,cdc5acdda096d42498ba49d4bec9451e1cb8cfa5251d295a0412d0e4d9a83668,Cross-phase/unclear,Repository-wide/none,Convenience/archive package,Convenience/context only; non-canonical container,,,Normal files listed in 03_DUPLICATE_REPORT.md,High,Yes — convenience archive retention/version policy
