chapter_id	chapter_title	relative_path	authority_role_for_chapter	selection_purpose	source_map_status	frozen_authority_tier	frozen_manual_treatment	source_map_sha256	candidate_register_sha256	actual_sha256	hash_status
14	Source Integrity and Evidence Control	00_START_HERE/07_STAGE5_TRANSPORT_PROVENANCE_VALIDATION.md	TIER_5_AUDIT	Stage 5 transport/provenance validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	417bf666f3d6346b0afc2e49a4a71052614a6adadc80f282f90673e20ff77c89	417bf666f3d6346b0afc2e49a4a71052614a6adadc80f282f90673e20ff77c89	417bf666f3d6346b0afc2e49a4a71052614a6adadc80f282f90673e20ff77c89	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/08_STAGE6A_HISTORICAL_RESEARCH_VALIDATION.md	TIER_5_AUDIT	Stage 6A historical-research validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	8fa5419bf7dabdf4d90e29e472638445c516797787134dcdeabeda129fcfc834	8fa5419bf7dabdf4d90e29e472638445c516797787134dcdeabeda129fcfc834	8fa5419bf7dabdf4d90e29e472638445c516797787134dcdeabeda129fcfc834	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/09_STAGE8_FINAL_ARCHIVAL_SWEEP_VALIDATION.md	TIER_5_AUDIT	Stage 8 final archival validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	deb56e43a0fe430f14778899d729d4a837f7f526b75fd72d865008cb2a83acc4	deb56e43a0fe430f14778899d729d4a837f7f526b75fd72d865008cb2a83acc4	deb56e43a0fe430f14778899d729d4a837f7f526b75fd72d865008cb2a83acc4	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/09_STAGE8_FINAL_ARCHIVAL_SWEEP_LOG.tsv	TIER_5_AUDIT	Detailed archival handling and source-accounting log.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	78a48b5517f456d15321ca004227a0d67c293b020e1694da335f8278d71e9bf7	78a48b5517f456d15321ca004227a0d67c293b020e1694da335f8278d71e9bf7	78a48b5517f456d15321ca004227a0d67c293b020e1694da335f8278d71e9bf7	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	08_MASTER_MANUAL/02_Chapter_Source_Maps/MASTER_MANUAL_SOURCE_MAP.tsv	POST_FREEZE_SOURCE_MAP_CONTROL	Frozen 301-record Master Manual source map.	UNMAPPED_OR_POST_FREEZE				ac4105f2e19f256a48a45dd74e684e68c226ab11756a44c1b2d0254d4764b3d7	ac4105f2e19f256a48a45dd74e684e68c226ab11756a44c1b2d0254d4764b3d7	LOCAL_HASH_RECORDED
14	Source Integrity and Evidence Control	08_MASTER_MANUAL/00_Blueprint/MASTER_MANUAL_MAPPING_SUMMARY.md	POST_FREEZE_MAPPING_CONTROL	Master Manual mapping coverage summary.	UNMAPPED_OR_POST_FREEZE				57e97fb72b53f7233c2d0cc2577c8049c9b047c5f9fa6759bae8c3669b3d5645	57e97fb72b53f7233c2d0cc2577c8049c9b047c5f9fa6759bae8c3669b3d5645	LOCAL_HASH_RECORDED
14	Source Integrity and Evidence Control	08_MASTER_MANUAL/02_Chapter_Source_Maps/MASTER_MANUAL_UNMAPPED_FILES.tsv	POST_FREEZE_MAPPING_CONTROL	Explicit unmapped-file control register.	UNMAPPED_OR_POST_FREEZE				41d72d09d0772dd5b367d5177392226c42ab8e20a639fede468e90dbf30f8e6e	41d72d09d0772dd5b367d5177392226c42ab8e20a639fede468e90dbf30f8e6e	LOCAL_HASH_RECORDED
14	Source Integrity and Evidence Control	08_MASTER_MANUAL/02_Chapter_Source_Maps/14_Source_Integrity_Audit_and_Reproducibility_SOURCES.md	POST_FREEZE_MAPPING_CONTROL	Chapter-specific source-map control.	UNMAPPED_OR_POST_FREEZE				be8c1ce6e38ac0d313cd9f6413f67280e2e5dc1f4ce464991935375be5d8e2ae	be8c1ce6e38ac0d313cd9f6413f67280e2e5dc1f4ce464991935375be5d8e2ae	LOCAL_HASH_RECORDED
14	Source Integrity and Evidence Control	08_MASTER_MANUAL/02_Chapter_Source_Maps/A1_Appendix_A_Complete_Source_Register_SOURCES.md	POST_FREEZE_MAPPING_CONTROL	Appendix source-register mapping control.	UNMAPPED_OR_POST_FREEZE				e523c77ca3b8341c4138db87713d943d8c54f02dcd5d0a99ce97c3b6da2ff7fa	e523c77ca3b8341c4138db87713d943d8c54f02dcd5d0a99ce97c3b6da2ff7fa	LOCAL_HASH_RECORDED
14	Source Integrity and Evidence Control	00_START_HERE/29_STAGE10R_PROVENANCE_ARCHIVE_INTEGRITY_PACKETS_VALIDATION.md	POST_FREEZE_PROCESS_CONTROL	Records the mechanically valid but substantively sparse Stage 10R result.	UNMAPPED_OR_POST_FREEZE				c4f3a3eea6d1ef939496b8400dbbf41422e86713edb6ff659c3aefe7db7d5c86	c4f3a3eea6d1ef939496b8400dbbf41422e86713edb6ff659c3aefe7db7d5c86	LOCAL_HASH_RECORDED
14	Source Integrity and Evidence Control	00_START_HERE/30_STAGE10R_R_PROVENANCE_ARCHIVE_INTEGRITY_COVERAGE_REPAIR_AUDIT.md	POST_FREEZE_PROCESS_CONTROL	Records the coverage defect and supplemental-selection requirement.	UNMAPPED_OR_POST_FREEZE					591c5d6fe6636f2b5fdd2f0103bf7cd1c196bcaf6e7f8b75e4548100936e8c0f	LOCAL_HASH_RECORDED
